VATyp;VA_Nr_(KT);Datum_von;Datum_bis;Dauer;Veranstaltungsstätte;VA_Raum;VA_Buchung_Name;Buchungsstatus;Veranstalter_1;VA_RaumFläche;Aktivitätsstatus
MV;12224;10.12.2024 15:30;10.12.2024 21:30;6;FFK;Saal;Vorweihnachtliches Konzert;Vtg ok;LIONS FÖRDERVEREIN Berlin-Hohenschönhausen e.V.;720;Veranstaltung allgemein
MV;12224;10.12.2024 15:30;10.12.2024 21:30;6;FFK;Französische Friedrichstadtkirche;Vorweihnachtliches Konzert;Vtg ok;LIONS FÖRDERVEREIN Berlin-Hohenschönhausen e.V.;0;Veranstaltung allgemein
MV;12224;10.12.2024 15:30;10.12.2024 21:30;6;FFK;Georges-Casalis-Saal;Vorweihnachtliches Konzert;Vtg ok;LIONS FÖRDERVEREIN Berlin-Hohenschönhausen e.V.;160;Veranstaltung allgemein
MV;12224;10.12.2024 15:30;10.12.2024 21:30;6;FFK;Salon Godet;Weihnachtliches Benefizkonzert;Vtg ok;LIONS FÖRDERVEREIN Berlin-Hohenschönhausen e.V.;22;Veranstaltung allgemein
Son;12246;24.06.2024 08:00;24.06.2024 23:30;15,5;FFK;Französische Friedrichstadtkirche;Flüchtlingsschutzssymposium;Vtg ok;Evangelische Akademie zu Berlin gGmbH;0;Veranstaltung allgemein
Son;12246;24.06.2024 08:00;24.06.2024 23:30;15,5;FFK;Saal;Flüchtlingsschutzssymposium;Vtg ok;Evangelische Akademie zu Berlin gGmbH;720;Veranstaltung allgemein
Son;12246;24.06.2024 08:00;24.06.2024 23:30;15,5;FFK;Georges-Casalis-Saal;Flüchtlingsschutzssymposium;Vtg ok;Evangelische Akademie zu Berlin gGmbH;160;Veranstaltung allgemein
Son;12246;24.06.2024 08:00;24.06.2024 23:30;15,5;FFK;Entrée;Flüchtlingsschutzssymposium;Vtg ok;Evangelische Akademie zu Berlin gGmbH;24;Veranstaltung allgemein
Son;12246;24.06.2024 08:00;24.06.2024 23:30;15,5;FFK;Rotunde;Flüchtlingsschutzssymposium;Vtg ok;Evangelische Akademie zu Berlin gGmbH;87;Veranstaltung allgemein
Son;12246;24.06.2024 08:00;24.06.2024 23:30;15,5;FFK;Restaurant Hugo & Notte;Flüchtlingsschutzssymposium;Vtg ok;Evangelische Akademie zu Berlin gGmbH;160;Veranstaltung allgemein
Son;12246;25.06.2024 08:00;25.06.2024 16:00;8;FFK;Französische Friedrichstadtkirche;Flüchtlingsschutzssymposium;Vtg ok;Evangelische Akademie zu Berlin gGmbH;0;Veranstaltung allgemein
Son;12246;25.06.2024 08:00;25.06.2024 16:00;8;FFK;Saal;Flüchtlingsschutzssymposium;Vtg ok;Evangelische Akademie zu Berlin gGmbH;720;Veranstaltung allgemein
Son;12246;25.06.2024 08:00;25.06.2024 16:00;8;FFK;Georges-Casalis-Saal;Flüchtlingsschutzssymposium;Vtg ok;Evangelische Akademie zu Berlin gGmbH;160;Veranstaltung allgemein
Son;12246;25.06.2024 08:00;25.06.2024 16:00;8;FFK;Entrée;Flüchtlingsschutzssymposium;Vtg ok;Evangelische Akademie zu Berlin gGmbH;24;Veranstaltung allgemein
